LineNo.,EventNo.,PID,State,Parent1,Parent2,CF,ACF,Px,Py,Pz,E,M,cTau,SpinProj
58567,9701,-12,1,1,0,0,0,+1.4130591411e+01,+3.5063481528e+01,+1.3699731316e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58571,9702,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,1.0000e+00
58572,9702,-11,1,1,0,0,0,+4.0520726307e+00,+4.7178726568e+00,+3.9725638744e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58573,9702,12,1,1,0,0,0,-4.0520726307e+00,-4.7178726568e+00,-3.9725638744e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58577,9703,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
58578,9703,-11,1,1,0,0,0,+3.5077698955e+01,+1.4055507454e+01,+1.3740514358e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58579,9703,12,1,1,0,0,0,-3.5077698955e+01,-1.4055507454e+01,-1.3740514358e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58583,9704,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
58584,9704,-13,1,1,0,0,0,-1.3569638696e+01,+1.7746209441e+01,-3.3432632931e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58585,9704,14,1,1,0,0,0,+1.3569638696e+01,-1.7746209441e+01,+3.3432632931e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58589,9705,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,-1.0000e+00
58590,9705,-11,1,1,0,0,0,+6.8992389965e+00,-1.9972511929e+00,-3.9562804217e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58591,9705,12,1,1,0,0,0,-6.8992389965e+00,+1.9972511929e+00,+3.9562804217e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58595,9706,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
